licence_id,licence_cohort_id,text
57131,51778,"Following a thorough review of its procedures for processing export licence applications to Iraq, Her Majesty's Government will consider as exempt from the embargo exports to the GoI, the United Nations Assistance Mission in Iraq (UNAMI), diplomatic missions in Iraq, the US forces in Iraq, the NATO training missions in Iraq, the UK naval training mission training the Iraqi Navy and entities contracted or subcontracted to the GoI, US or UK forces or NATO"""
57152,51795,"Licence granted for use for sporting and hunting end use."
57407,52033,"Licence granted for scientific use in a laboratory."
57428,52052,"Licence granted for the protection of staff for an international organisation."
57429,52053,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57561,52176,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57569,52184,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57707,52310,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57833,52416,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57850,52431,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57851,52432,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58029,52595,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58061,52627,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58062,52627,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58226,52775,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58245,52794,"Licence granted for private/sporting use."
58271,52813,"Licence granted for private/sporting use."
58290,52828,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58294,52832,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58363,52896,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58364,52896,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58365,52896,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58479,52997,"HMG exceptionally agreed to export a number of firearms, and associated accessories, to Bahrain for personal sporting use. They are not for use by the Bahraini security services, law enforcement agencies or armed forces."
58543,53058,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58550,53064,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58551,53065,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58609,53119,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58638,53148,"Temporary licence granted for private/sporting use."
58639,53148,"Temporary licence granted for private/sporting use."
58676,53179,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58679,53182,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58701,53204,"Temporary licence granted for private/sporting use."
58740,53241,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58811,53304,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58900,53384,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58926,53406,"Temporary licence granted for private/sporting use."
58978,53453,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
58980,53455,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59020,53494,"Temporary licence granted for private/sporting use."
59021,53494,"Temporary licence granted for private/sporting use."
59101,53565,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59103,53567,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59104,53567,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59105,53568,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59140,53600,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59165,53623,"Temporary licence granted for private/sporting use."
59262,53711,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59315,53761,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59374,53816,"Licence granted for private/sporting use."
59393,53835,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59420,53859,"Licence granted for private commercial purposes."
59427,53865,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59477,53910,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59631,54040,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59632,54040,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59633,54041,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
59889,54282,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
60374,54739,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
60574,54919,"Licence granted for end use by the Indonesian Navy."
60801,55122,"One licence granted for small arms ammunition was for use in counter-terrorist operations."
60823,55141,"Licence granted for weapon sights to be used for training purposes."
60867,55182,"Licence granted for end use by the Indonesian Navy."
61041,55344,"Licence granted for end use by the Indonesian Navy."
61225,55508,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
61254,55533,"Temporary licence granted for private/sporting use."
61313,55589,"Licence granted for private/sporting use."
61385,55655,"Licence granted for private/sporting use."
61464,55730,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
61508,55770,"Licence granted for private/sporting use."
61879,56105,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
62197,56389,"Licence granted for military combat vehicles and military support vehicles was for civilian use by the Ministry of Justice."
62828,56964,"Licence granted for private/sporting use."
63027,57148,"Temporary licence granted for private/sporting use."
63034,57155,"Licence granted for weapon sights designed for civilian use returned for repair or scrap."
63150,57260,"Licence granted for weapon sights designed for civilian use returned for repair or scrap."
63284,57380,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
63319,57411,"Licence granted for small arms ammunition was for sporting end-use."
63323,57415,"Licence granted for items to be held in stock by a commercial company against future orders."
63331,57423,"Temporary licence granted for private/sporting use."
63440,57527,"Licence granted for items to be held in stock by a commercial company against future orders."
63545,57618,"Licence granted for small arms ammunition was for sporting end-use."
63688,57751,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
63747,57805,"Licence granted for operational and training purposes."
63860,57914,"Licence granted for items to be held in stock by a commercial company against future orders."
63959,58004,"Licence granted for private/sporting use."
64008,58052,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
64050,58091,"Approval based on the fact that this export is issued for use in Afghanistan for the protection of diplomatic staff."
64051,58092,"Licence granted for training and competition by a sports shooting federation."
64065,58106,"Licence granted for private/sporting use."
64289,58297,"Licence granted for temporary export for trial and evaluation purposes."
64336,58337,"Licence granted for government / military end use."
64356,58357,"Licence granted for use by a law enforcement agency."
64377,58376,"Licence granted for government / military end use."
64420,58414,"Licence granted for government / military end use."
64441,58433,"Licence granted for test and evaluation purposes by a commercial end user."
64452,58442,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
64455,58445,"Licence granted for testing and evaluation at a firing range."
64465,58455,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
64620,58592,"Licence granted for private/sporting use."
64621,58592,"Licence granted for private/sporting use."
64723,58685,"Licence granted for end use by the Air Force."
64734,58696,"Licence granted for aerial target system for training of Navy personnel"
64735,58697,"Licence granted for government / military end use."
64752,58714,"Licence granted for the protection of personnel during United States controlled Humanitarian demining operations in Ecuador."
64757,58719,"Licence granted for scientific use in a laboratory."
64768,58730,"Licence granted for private/sporting use."
64812,58767,"Licence granted for use by a law enforcement agency."
64840,58793,"Licence granted for government / military end use."
64842,58795,"Licence granted for government / military end use."
64866,58818,"Licence granted for private/sporting use."
64878,58830,"All goods will be used by athletes for training and competing in National and International competition."
64960,58902,"Licence granted for use by the Indian Security Forces to assist in small arms marksmanship training."
64989,58926,"Licence granted for scientific use in a laboratory."
65075,59001,"Licence granted for private/sporting use."
65083,59009,"Licence granted for goods which will be returned to the UK."
65124,59041,"Licence granted for scientific use in a laboratory."
65152,59068,"Licence granted for use at a firing range."
65173,59087,"Licence granted for demonstration purposes."
65196,59107,"Licence granted for use by a civil aviation authority."
65220,59130,"Licence granted for training purposes and is for government / military end use."
65243,59152,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
65273,59180,"Licence granted for naval end use."
65286,59191,"Licence granted to a commercial company for the manufacture of steel."
65291,59196,"Licence granted for naval end use."
65292,59197,"Licence granted for private/sporting use."
65300,59205,"For testing and evaluation purposes."
65321,59224,"Licence granted for testing and evaluation at a firing range."
65354,59254,"Licence granted for government / military end use."
65376,59272,"Licence granted for use by a law enforcement agency."
65418,59306,"Licence granted for use at a firing range."
65422,59310,"Licence granted for items to be held in stock by a commercial company against future orders."
65427,59315,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
65445,59333,"Licence granted for use by a Food Standards agency."
65469,59356,"Licence granted for use by the Indian Security Forces to assist in small arms marksmanship training."
65479,59366,"Licence granted for end use by the Air Force."
65503,59388,"Licence granted for government / military end use."
65513,59397,"Licence granted for trial purposes by a commercial company."
65562,59442,"Licence granted for testing and evaluation at a firing range."
65566,59446,"Licence has been revoked due to a change in circumstances in Egypt after the licence was issued. The licence is no longer consistent with the Consolidated Criteria."
65568,59448,"Licence granted for the secure external movement of prisoners by a Government Organisation."
65581,59460,"Licence granted for government / military end use."
65593,59472,"Licence granted to protect security personnel."
65616,59494,"Licence granted for government / military end use."
65658,59533,"Licence granted for bomb disposal equipment for government / military end use."
65709,59582,"Licence granted for use by a law enforcement agency."
65729,59600,"Licence granted for private/sporting use."
65740,59609,"Licence granted for government / military end use."
65786,59652,"Licence granted for use by a commercial company."
65813,59678,"Licence granted for use in the manufacturer of armoured vehicles by a commercial company"
65828,59693,"Licence granted for training in safe weapon handling."
65844,59709,"Licence granted for private/sporting use."
65870,59735,"Licence granted for private/personal protection."
65878,59743,"For the protection of personnel employed in the finance sector."
65883,59747,"Licence granted for end use by the Air Force."
65940,59803,"Licence granted for evaluation by a Government organisation."
65964,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65965,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65966,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65967,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65968,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65969,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65970,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65971,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65972,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65973,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65974,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65975,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65976,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
65977,59825,"These licences are for export of commercially available electronic equipment. They were originally refused because of concerns of possible diversion to military end-use. The refusals were reported in the Quarterly Report for October-December 2012 and the Annual Report for 2012. On appeal, the diversion risk was found to be unsubstantiated and the licences were granted. For the sake of consistency the same goods description has been used here as when reporting the refusals."
66003,59850,"Licence granted for government / military end use."
66017,59864,"Licence granted for use in exhibitions, marketing & promotions."
66036,59881,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
66037,59882,"Licence granted for naval end use."
66045,59890,"Licence granted for components for airborne target and reconnaissance drone."
66066,59909,"Approval based on the fact that the goods will be used for demining, for humanitarian use only."
66069,59912,"Licence granted for training and operational purposes for a law enforcement agency."
66070,59912,"Licence granted for government / military end use."
66103,59944,"Licence granted for private/sporting use."
66115,59955,"Licence granted for use by a law enforcement agency."
66124,59964,"A declaration by the Madrid European Council on 27 June 1989 established an arms embargo on China. This embargo also extends to arms exports to Macao. The UK interpretation of the embargo applies to: lethal weapons such as machine guns, large calibre weapons, bombs, torpedoes, rockets and missiles; specially designed components of these items and ammunition; military aircraft and helicopters, vessels of war, armoured fighting vehicles and other such weapons platforms; any equipment which might be used for internal repression. All exports for this destination were approved in accordance with the sanctions in place. This licence relates to the export of disposal equipment for Improvised Explosive Devices, which is not covered by the above embargo."
66125,59965,"Approval based on the fact that the goods will be used for demining, for humanitarian use only."
66132,59971,"Licence granted for trial and test purposes."
66154,59992,"Licence granted for private/sporting use."
66175,60011,"Licence granted for private/sporting use."
66188,60024,"Licence granted for private/sporting use."
66288,60118,"Licence granted for use by a government organisation."
66358,60180,"Refurbishment of rifles belonging to existing customers of a commercial company."
66368,60190,"Licence granted for use by athletes from a law enforcement agency."
66436,60249,"Licence granted for government / military end use."
66438,60251,"Licence granted for teaching and research purposes at a University."
66508,60308,"Licence granted for government / military end use."
66519,60316,"Licence granted for government / military end use."
66541,60336,"Ammunition and pyrotechnic diversionary devices. Air Force end use includes security protection, counter-terrorist activities."
66542,60336,"Licence granted for government / military end use."
66549,60342,"Licence granted for testing and evaluation purposes by a law enforcement agency."
66600,60391,"Licence granted for private/sporting use."
66637,60425,"Licence granted for government / military end use."
66639,60427,"Licence granted for government / military end use."
66681,60468,"Licence granted for recreational, outdoor sports, hunting and pest control use."
66692,60479,"Licence granted for scientific use in a laboratory."
66727,60513,"Licence granted for use by a law enforcement agency."
66731,60517,"Licence granted for commercial purposes, to be sold to law enforcement or other Government Agencies"
66841,60618,"Licence granted for a detection kit for use by a commercial company."
66855,60628,"Licence granted for items to be held in stock by a commercial company against future orders."
66856,60629,"A declaration by the Madrid European Council on 27 June 1989 established an arms embargo on China. This embargo also extends to arms exports to Macao. The UK interpretation of the embargo applies to: lethal weapons such as machine guns, large calibre weapons, bombs, torpedoes, rockets and missiles; specially designed components of these items and ammunition; military aircraft and helicopters, vessels of war, armoured fighting vehicles and other such weapons platforms; any equipment which might be used for internal repression. All exports for this destination were approved in accordance with the sanctions in place. This licence relates to the export of disposal equipment for Improvised Explosive Devices, which is not covered by the above embargo."
66858,60631,"Licence granted for use by a law enforcement agency."
66906,60675,"Licence granted for end use by the Air Force."
66935,60702,"Licence granted for use in the manufacturer of armoured vehicles by a commercial company"
66943,60710,"Licence granted for training and operational purposes for a law enforcement agency."
66963,60728,"Transhipment Licence granted for testing of ammunition for government / military end use."
66995,60754,"Licence granted for use by a commercial company."
67036,60791,"Licence granted for resale by commercial company in the retail sport market."
67046,60801,"Licence granted for private/sporting use."
67067,60820,"Licence granted for use at a firing range."
67150,60898,"Licence granted for government / military end use."
67177,60919,"Licence granted for a sample to be used for calibration purposes."
67187,60929,"Licence granted for use in medical equipment."
67232,60971,"Licence granted for testing and evaluation purposes by a law enforcement agency."
67266,61000,"Licence granted for scientific use in a laboratory."
67350,61076,"Licence granted for government / military end use."
67359,61085,"Licence granted for evaluation by a Government organisation."
67369,61093,"Licence granted for use by a law enforcement agency."
67370,61094,"Licence granted for government / military end use."
67372,61096,"Licence granted for private/personal protection."
67374,61098,"Licence granted for government / military end use."
67377,61101,"Licence granted for government / military end use."
67521,61222,"Licence granted for use by a law enforcement agency."
67575,61273,"Licence granted for demonstration purposes."
67610,61305,"Licence granted for government / military end use."
67614,61309,"Licence granted for items to be held in stock by a commercial company against future orders."
67625,61319,"Licence granted for use by a law enforcement agency."
67631,61324,"Licence granted for testing and evaluation by a Government / military end user."
67647,61340,"Licence granted for use in the manufacturer of armoured vehicles by a commercial company"
67678,61369,"Licence granted for government / military end use."
67699,61388,"Licence granted for private/sporting use."
67700,61388,"Licence granted for private/sporting use."
67721,61405,"Licence granted for personal protection of crew on board a vessel."
67727,61410,"Licence granted for use by a law enforcement agency."
67732,61414,"Licence granted for components for radar systems being returned after repair."
67733,61414,"Licence granted for components for radar systems being returned after repair."
67778,61455,"Licence granted for use at a firing range."
67792,61467,"Licence granted for government / military end use."
67836,61506,"Licence granted for government / military end use."
67845,61515,"Licence granted for pyrotechnic diversionary devices and ammunition. Naval end use includes V.V.I.P. protection, anit-hijack and hostage rescue."
67916,61576,"Licence granted for private/sporting use."
67918,61578,"Licence granted for government / military end use."
67919,61579,"Licence granted for demonstration purposes."
67940,61598,"Licence granted for training in safe weapon handling."
68011,61666,"HMG exceptionally agreed to export a number of firearms, and associated accessories, to Bahrain for personal sporting use. They are not for use by the Bahraini security services, law enforcement agencies or armed forces."
68024,61678,"Licence granted for training purposes and is for government / military end use."
68072,61724,"Licence granted for end use by the Air Force."
68085,61736,"Licence granted for evaluation by a Government organisation."
68091,61742,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68100,61751,"Licence granted to a commercial company for use in mining operations."
68129,61777,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68130,61778,"Licence granted for safety fuse for use with explosives, for military end use."
68146,61793,"Approval granted for use by a Government Organisation for the legitimate disposal of explosives."
68187,61828,"Licence granted for private/sporting use."
68188,61828,"Licence granted for private/sporting use."
68199,61838,"Licence granted for items to be held in stock by a commercial company against future orders."
68229,61864,"Licence granted for end use by the Air Force."
68241,61875,"Licence granted for use by a commercial company."
68252,61885,"Licence has been revoked due to a change in circumstances in Egypt after the licence was issued. The licence is no longer consistent with the Consolidated Criteria."
68256,61889,"Transhipment Licence granted for testing of ammunition for government / military end use."
68274,61906,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68278,61909,"Licence granted for naval end use."
68284,61915,"Licence granted for government / military end use."
68333,61963,"Licence granted for use in medical equipment."
68358,61988,"Licence granted for use in testing targeting equipment."
68371,61998,"Licence granted for scientific use in a laboratory."
68373,62000,"Licence granted for use at an exhibition."
68376,62002,"Licence granted for development and prototyping purposes by a commercial company."
68396,62017,"Licence granted for preventing cellular services in small areas, for security and protection of personel and will be used by a Government Agency"
68414,62033,"Licence granted for private/sporting use."
68451,62066,"Licence has been revoked due to a change in circumstances in Egypt after the licence was issued. The licence is no longer consistent with the Consolidated Criteria."
68486,62092,"Licence granted for end use by the Air Force."
68488,62094,"Licence granted for use by a government organisation."
68544,62145,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68546,62147,"Approval granted for demining purposes for a Government organisation."
68566,62165,"Licence granted for integration by a commercial company - ultimate end use is Turkish government / military."
68612,62206,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68667,62256,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68680,62269,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68703,62290,"Licence granted for training purposes and is for government / military end use."
68717,62304,"Licence granted for private/sporting use."
68760,62344,"Licence granted for government / military end use."
68772,62356,"Licence granted for end use by the Air Force."
68792,62374,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68799,62381,"Licence granted for use by a law enforcement agency."
68856,62428,"Licence granted for testing and evaluation by a Government / military end user."
68916,62483,"Licence granted for testing and evaluation by a Government / military end user."
68939,62504,"Licence granted for recreational, outdoor sports, hunting and pest control use."
68942,62507,"Licence granted for training in safe weapon handling."
68974,62533,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
68990,62549,"Licence granted for use by a law enforcement agency."
69015,62573,"Licence granted for training purposes and is for government / military end use."
69053,62604,"Licence granted for items to be held in stock by a commercial company against future orders."
69058,62609,"Licence granted for bomb disposal equipment for government / military end use."
69079,62630,"Licence granted for private/sporting use."
69087,62638,"Licence granted for use for sporting and hunting end use."
69113,62659,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
69114,62660,"Licence granted for private/personal protection."
69130,62675,"Licence granted for testing in a laboratory."
